generator,sample_size,replication,training_time,final_loss,final_term1,final_term2,n_epochs,mmd,two_sample_min_p,two_sample_mean_p,two_sample_rejected,mean_distance,cov_frobenius,cov_trace
"Normal(μ=0, σ=1)",100,0,1.3193399906158447,0.5458385348320007,1.0134221315383911,0.9351669549942017,200,0.027955112416820204,0.36818778606286096,0.36818778606286096,0,0.05482836812734604,0.3224821086296362,0.3224821086296362
"Normal(μ=0, σ=1)",100,1,0.604346752166748,0.5411922931671143,0.9421160817146301,0.8018476366996765,200,0.0917638139019086,0.21117008625127576,0.21117008625127576,0,0.060799404978752136,0.5569725476794603,0.5569725476794603
"Normal(μ=0, σ=1)",100,2,0.6800580024719238,0.6640478372573853,1.1517735719680786,0.9754514098167419,200,0.10059026942780623,0.07822115797841851,0.07822115797841851,0,0.13500307500362396,0.5403593578623298,0.5403593578623298
"Normal(μ=0, σ=1)",100,3,0.5583457946777344,0.6392589807510376,1.1867589950561523,1.095000147819519,200,0.004206864023777611,0.2819416298082479,0.2819416298082479,0,0.09716223925352097,0.5366068994467525,0.5366068994467525
"Normal(μ=0, σ=1)",100,4,0.4954721927642822,0.5680853724479675,1.036054253578186,0.9359378218650818,177,0.1267982670353533,0.05390207893129876,0.05390207893129876,0,0.2037200629711151,0.3613627645679668,0.3613627645679668
"Normal(μ=0, σ=1)",100,5,0.5558860301971436,0.5243837237358093,1.0063046216964722,0.9638419151306152,200,0.0,0.8154147124661313,0.8154147124661313,0,0.0028899461030960083,0.22391178245786203,0.22391178245786203
"Normal(μ=0, σ=1)",100,6,0.6399450302124023,0.5748110413551331,1.0595848560333252,0.96954745054245,200,0.0,0.2819416298082479,0.2819416298082479,0,0.1674880087375641,0.2701900079816959,0.2701900079816959
"Normal(μ=0, σ=1)",100,7,0.5779392719268799,0.6044780015945435,1.065887212753296,0.9228183627128601,192,0.13131966813488521,0.21117008625127576,0.21117008625127576,0,0.15406782925128937,0.43662935495592736,0.43662935495592736
"Normal(μ=0, σ=1)",100,8,0.5447680950164795,0.5914026498794556,1.111674427986145,1.040543556213379,200,0.10604574131354741,0.2819416298082479,0.2819416298082479,0,0.017556603997945786,0.2998364891803593,0.2998364891803593
"Normal(μ=0, σ=1)",100,9,0.5632970333099365,0.6845958828926086,1.1606374979019165,0.9520832300186157,200,0.05710995606265134,0.8154147124661313,0.8154147124661313,0,0.08123119920492172,0.5734810844948274,0.5734810844948274
"Normal(μ=0, σ=1)",500,0,3.355757713317871,0.5668958487510681,1.097847798347473,1.061903896331787,125,0.04007928746192753,0.7189191850204419,0.7189191850204419,0,0.020093148574233055,0.14046861561911084,0.14046861561911084
"Normal(μ=0, σ=1)",500,1,1.6767840385437012,0.550858428478241,1.0875947732925415,1.073472689628601,81,0.024472985099229853,0.5600220048872044,0.5600220048872044,0,0.04871371388435364,0.055431129347897734,0.055431129347897734
"Normal(μ=0, σ=1)",500,2,1.6478500366210938,0.5448094220161438,1.0628452243804931,1.0360715742111206,71,0.02904197564136861,0.7704365372945415,0.7704365372945415,0,0.0005432665348052979,0.03558329165624663,0.03558329165624663
"Normal(μ=0, σ=1)",500,3,1.836575984954834,0.5652569646835327,1.115138529777527,1.0997630939483642,80,0.0,0.9026912216773312,0.9026912216773312,0,0.001193151343613863,0.09338204161882746,0.09338204161882746
"Normal(μ=0, σ=1)",500,4,1.8129279613494873,0.5813238101005554,1.138441110610962,1.1142344541549682,87,0.0,0.9603008958861495,0.9603008958861495,0,0.04332726076245308,0.05967781303817754,0.05967781303817754
"Normal(μ=0, σ=1)",500,5,3.0453059673309326,0.533352520942688,1.0306430377960205,0.9945810279846191,125,0.05446770186201944,0.11136835555551457,0.11136835555551457,0,0.0478307344019413,0.04170033039103904,0.04170033039103904
"Normal(μ=0, σ=1)",500,6,1.9355430603027344,0.5920468230247498,1.1550362758636474,1.1259789972305299,92,0.0,0.4599232291065006,0.4599232291065006,0,0.05305549129843712,0.09240502554559171,0.09240502554559171
"Normal(μ=0, σ=1)",500,7,3.460469961166382,0.5585163435935974,1.0984599876403809,1.0798872909545898,133,0.01981850815805607,0.6659218712646571,0.6659218712646571,0,0.00886816531419754,0.11183802468785087,0.11183802468785087
"Normal(μ=0, σ=1)",500,8,1.6270661354064941,0.5818160676956177,1.1314492931365967,1.0992665090560914,86,0.0,0.7189191850204419,0.7189191850204419,0,0.02197377383708954,0.06098372848498035,0.06098372848498035
"Normal(μ=0, σ=1)",500,9,1.7007129192352295,0.5835306406021118,1.1326653842926024,1.0982694625854492,86,0.05921420049414625,0.2919248807417811,0.2919248807417811,0,0.019855571910738945,0.0829428871060951,0.0829428871060951
"Normal(μ=0, σ=1)",1000,0,4.45385479927063,0.5847138638496399,1.1521731843948364,1.1349186134338378,82,0.0,0.8881734182535203,0.8881734182535203,0,0.0024613402783870697,0.044000857142670435,0.044000857142670435
"Normal(μ=0, σ=1)",1000,1,2.241353988647461,0.5738858437538147,1.119775330543518,1.0917789306640624,50,0.0061215116169473244,0.5005673707894058,0.5005673707894058,0,0.013767934404313564,0.17938993979837048,0.17938993979837048
"Normal(μ=0, σ=1)",1000,2,2.6256251335144043,0.5720427417755127,1.1145838766098022,1.0850822696685791,53,0.04957381258192088,0.37012017606173,0.37012017606173,0,0.005545400083065033,0.10642071935066866,0.10642071935066866
"Normal(μ=0, σ=1)",1000,3,2.4746429920196533,0.5610813875198364,1.1040571699142456,1.0859516506195068,54,0.01100631375109405,0.6101664688189142,0.6101664688189142,0,0.017701946198940277,0.020307023742836994,0.020307023742836994
